,id,name,parent_id,path,rank,deleted,is_active,creator,create_time,update_time,name_y
114,1402935457892945921,文化与世界观,1402935189008699392,/1402934813137166338/1402935189008699393/1402935457892945921/,999,0,1,100004747,2021-06-10 18:27:33,2021-06-16 19:55:42,
115,1402935510045941762,世界观,1402934813137166336,/1402934813137166338/1402935510045941762/,999,0,1,100004747,2021-06-10 18:27:45,2021-06-16 20:05:25,
116,1404740261700034562,公务员,,/1404740261700034562/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,公务员
117,1404751964307316737,言语理解和表达,1404740261700034304,/1404740261700034562/1404751964307316737/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,
118,1404751964332482561,选词填空,1404751964307316736,/1404740261700034562/1404751964307316737/1404751964332482561/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,
119,1404751964361842690,语境分析,1404751964332482304,/1404740261700034562/1404751964307316737/1404751964332482561/1404751964361842690/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,
120,1404751964387008514,词语辨析,1404751964332482304,/1404740261700034562/1404751964307316737/1404751964332482561/1404751964387008514/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,
121,1404751964416368642,其他,1404751964332482304,/1404740261700034562/1404751964307316737/1404751964332482561/1404751964416368642/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,
122,1404751964441534465,语句表达,1404751964307316736,/1404740261700034562/1404751964307316737/1404751964441534465/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,
123,1404751964466700290,句子填空,1404751964441534464,/1404740261700034562/1404751964307316737/1404751964441534465/1404751964466700290/,-1,0,1,100007174,2021-06-15 18:45:42,2021-06-15 19:21:03,
124,1404751964491866113,句子排序,1404751964441534464,/1404740261700034562/1404751964307316737/1404751964441534465/1404751964491866113/,-1,0,1,100007174,2021-06-15 18:45:42,2021-06-15 19:21:03,
125,1404751964521226241,病句辨析,1404751964441534464,/1404740261700034562/1404751964307316737/1404751964441534465/1404751964521226241/,-1,0,1,100007174,2021-06-15 18:45:42,2021-06-15 19:21:03,
126,1404751964546392065,歧义句辨析,1404751964441534464,/1404740261700034562/1404751964307316737/1404751964441534465/1404751964546392065/,-1,0,1,100007174,2021-06-15 18:45:42,2021-06-15 19:21:03,
127,1404751964575752193,基础知识,1404751964441534464,/1404740261700034562/1404751964307316737/1404751964441534465/1404751964575752193/,-1,0,1,100007174,2021-06-15 18:45:42,2021-06-15 19:21:03,
128,1404751964600918017,片段阅读,1404751964307316736,/1404740261700034562/1404751964307316737/1404751964600918017/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,
129,1404751964630278146,中心主旨,1404751964600918016,/1404740261700034562/1404751964307316737/1404751964600918017/1404751964630278146/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,
130,1404751964655443970,标题添加,1404751964600918016,/1404740261700034562/1404751964307316737/1404751964600918017/1404751964655443970/,0,0,1,100007174,2021-06-15 18:45:42,2021-06-15 18:45:42,
